Symbol,industry
WELSPUNLIV.NS,Textile Manufacturing
GOCOLORS.NS,Apparel Manufacturing
GTL.NS,Telecom Services
NACLIND.NS,Agricultural Inputs
GULPOLY.NS,Chemicals
OPTIEMUS.NS,Electronics & Computer Distribution
TNPL.NS,Paper & Paper Products
AIAENG.NS,Specialty Industrial Machinery
HONDAPOWER.NS,Specialty Industrial Machinery
INDORAMA.NS,Textile Manufacturing
RADHIKAJWE.NS,Luxury Goods
ORCHPHARMA.NS,Drug Manufacturers—Specialty & Generic
AROGRANITE.NS,Building Products & Equipment
SGIL.NS,Metal Fabrication
CHENNPETRO.NS,Oil & Gas Refining & Marketing
MAZDOCK.NS,Aerospace & Defense
XELPMOC.NS,Information Technology Services
HEIDELBERG.NS,Building Materials
KOPRAN.NS,Drug Manufacturers—General
ORIENTPPR.NS,Paper & Paper Products
HIL.NS,Building Products & Equipment
DHANBANK.NS,Banks—Regional
SBCL.NS,Metal Fabrication
GOODLUCK.NS,Steel
LOVABLE.NS,Apparel Manufacturing
APTUS.NS,Mortgage Finance
MASFIN.NS,Credit Services
TAINWALCHM.NS,Specialty Chemicals
ROTO.NS,Specialty Industrial Machinery
IFBIND.NS,Furnishings, Fixtures & Appliances
L&TFH.NS,Credit Services
HILTON.NS,Metal Fabrication
KAKATCEM.NS,Building Materials
GMRP&UI.NS,Infrastructure Operations
STLTECH.NS,Communication Equipment
TATVA.NS,Specialty Chemicals
WSTCSTPAPR.NS,Paper & Paper Products
SHRIRAMFIN.NS,Credit Services
HNDFDS.NS,Packaged Foods
RAMCOIND.NS,Building Products & Equipment
AMIORG.NS,Specialty Chemicals
GOCLCORP.NS,Specialty Chemicals
PCJEWELLER.NS,Luxury Goods
AAVAS.NS,Mortgage Finance
CYIENT.NS,Conglomerates
KREBSBIO.NS,Drug Manufacturers—Specialty & Generic
PLAZACABLE.NS,Electrical Equipment & Parts
JAYSREETEA.NS,Farm Products
STAR.NS,Drug Manufacturers—Specialty & Generic
KIRLOSENG.NS,Specialty Industrial Machinery
ANANTRAJ.NS,Real Estate—Development
KANANIIND.NS,Luxury Goods
IPCALAB.NS,Drug Manufacturers—Specialty & Generic
BIRET-RR.NS,
GMMPFAUDLR.NS,Specialty Industrial Machinery
MAITHANALL.NS,Steel
SANSERA.NS,Metal Fabrication
BAIDFIN.NS,
BHARATRAS.NS,Agricultural Inputs
OBEROIRLTY.NS,Real Estate—Development
PAISALO.NS,Credit Services
TEGA.NS,Specialty Industrial Machinery
KAMATHOTEL.NS,Lodging
NIACL.NS,Insurance—Diversified
GULFOILLUB.NS,Specialty Chemicals
ITDCEM.NS,Engineering & Construction
AGARIND.NS,Specialty Chemicals
BARBEQUE.NS,Restaurants
GRSE.NS,Aerospace & Defense
HERANBA.NS,Agricultural Inputs
GLENMARK.NS,Drug Manufacturers—Specialty & Generic
FDC.NS,Drug Manufacturers—Specialty & Generic
HLVLTD.NS,Lodging
BANDHANBNK.NS,Banks—Regional
RAMASTEEL.NS,Steel
VERANDA.NS,Education & Training Services
SJS.NS,Auto Parts
TNPETRO.NS,Specialty Chemicals
NAM-INDIA.NS,Asset Management
DODLA.NS,Food Distribution
PANAMAPET.NS,Oil & Gas Refining & Marketing
CREDITACC.NS,Credit Services
BORORENEW.NS,Packaging & Containers
TITAN.NS,Luxury Goods
TECHNOE.NS,Engineering & Construction
FCSSOFT.NS,Information Technology Services
IOB.NS,Banks—Regional
MARICO.NS,Household & Personal Products
GENUSPOWER.NS,Electrical Equipment & Parts
JINDALSTEL.NS,Steel
WELCORP.NS,Steel
SNOWMAN.NS,Integrated Freight & Logistics
MOREPENLAB.NS,Drug Manufacturers—Specialty & Generic
IONEXCHANG.NS,Pollution & Treatment Controls
VAKRANGEE.NS,Information Technology Services
NEWGEN.NS,Software—Application
DATAPATTNS.NS,Aerospace & Defense
RSSOFTWARE.NS,Information Technology Services
JBCHEPHARM.NS,Drug Manufacturers—Specialty & Generic
PRICOLLTD.NS,Auto Parts
VIJAYA.NS,Diagnostics & Research
KPIL.NS,Engineering & Construction
BANKINDIA.NS,Banks—Regional
LIKHITHA.NS,Oil & Gas Equipment & Services
PSPPROJECT.NS,Engineering & Construction
GANESHBE.NS,Specialty Chemicals
KARURVYSYA.NS,Banks—Regional
TTKPRESTIG.NS,Furnishings, Fixtures & Appliances
AGSTRA.NS,Software—Infrastructure
CUB.NS,Banks—Regional
FCL.NS,Specialty Chemicals
CARTRADE.NS,Auto & Truck Dealerships
SHARDACROP.NS,Agricultural Inputs
JAMNAAUTO.NS,Auto Parts
TATACHEM.NS,Chemicals
TATAMETALI.NS,Steel
HITECH.NS,Steel
SUPRIYA.NS,Biotechnology
RATEGAIN.NS,Software—Application
VESUVIUS.NS,Specialty Industrial Machinery
MOIL.NS,Other Industrial Metals & Mining
GLS.NS,Drug Manufacturers—Specialty & Generic
CHOICEIN.NS,Capital Markets
BOSCHLTD.NS,Auto Parts
MINDACORP.NS,Auto Parts
IRCON.NS,Engineering & Construction
ZYDUSLIFE.NS,Drug Manufacturers—Specialty & Generic
CONCOR.NS,Railroads
ADANIENSOL.NS,Utilities - Independent Power Producers
TORNTPHARM.NS,Drug Manufacturers—Specialty & Generic
AFFLE.NS,Advertising Agencies
IDBI.NS,Banks—Regional
VARROC.NS,Auto Parts
IFCI.NS,Credit Services
GREENPLY.NS,Lumber & Wood Production
PSB.NS,Banks—Regional
POLYMED.NS,Medical Instruments & Supplies
MAYURUNIQ.NS,Textile Manufacturing
GREENLAM.NS,Furnishings, Fixtures & Appliances
PENIND.NS,Specialty Industrial Machinery
3IINFOLTD.NS,Information Technology Services
APARINDS.NS,Electrical Equipment & Parts
LINDEINDIA.NS,Specialty Chemicals
ARVINDFASN.NS,Apparel Manufacturing
ALICON.NS,Metal Fabrication
MAHLOG.NS,Integrated Freight & Logistics
TATACONSUM.NS,Packaged Foods
JUSTDIAL.NS,Internet Content & Information
DEEPINDS.NS,Oil & Gas E&P
AXISCADES.NS,Engineering & Construction
STYLAMIND.NS,Furnishings, Fixtures & Appliances
BCONCEPTS.NS,Footwear & Accessories
WINDLAS.NS,Drug Manufacturers—Specialty & Generic
FIBERWEB.NS,Textile Manufacturing
GRWRHITECH.NS,Specialty Chemicals
VLSFINANCE.NS,Capital Markets
INDIACEM.NS,Building Materials
HONAUT.NS,Electrical Equipment & Parts
GILLETTE.NS,Household & Personal Products
STARHEALTH.NS,Insurance—Diversified
PGHL.NS,Drug Manufacturers—Specialty & Generic
SIGACHI.NS,Drug Manufacturers—Specialty & Generic
PRESTIGE.NS,Real Estate—Diversified
VISESHINFO.NS,Information Technology Services
GLOBAL.NS,Education & Training Services
VIPIND.NS,Footwear & Accessories
SKMEGGPROD.NS,Packaged Foods
BLUESTARCO.NS,Specialty Industrial Machinery
ZENTEC.NS,Aerospace & Defense
MAXHEALTH.NS,Medical Care Facilities
THERMAX.NS,Specialty Industrial Machinery
SOUTHBANK.NS,Banks—Regional
SHYAMMETL.NS,Steel
IMAGICAA.NS,Entertainment
INDIAGLYCO.NS,Chemicals
AJANTPHARM.NS,Drug Manufacturers—Specialty & Generic
HERITGFOOD.NS,Packaged Foods
ANANDRATHI.NS,Asset Management
AYMSYNTEX.NS,Textile Manufacturing
INOXWIND.NS,Specialty Industrial Machinery
WHEELS.NS,Auto Parts
CANBK.NS,Banks—Regional
ASTRAL.NS,Building Products & Equipment
